filling,word,length_letters,exp_a,exp_b,h_pmns_mod5,tr_re,tr_im,tr2_re,tr2_im,complex_length_re,twist_rad,twist_deg,abs_tr
m003(cusp),Abbb,4,-1,3,,0.50000000000000000000000000000000000,6.0621778264910705273460621952705533,-36.500000000000000000000000000000000,6.0621778264910705273460621952705533,3.6622767501472215579603845219636849,2.9852130979188691212602018447620983,537.33835762539644182683633205717769/pi,6.0827625302982196889996842452020671
m003(cusp),AAAAB,5,-4,-1,,4.0000000000000000000000000000000000,-3.4641016151377545870548926830117447,4.0000000000000000000000000000000000,-27.712812921102036696439141464093958,3.3257717821172421513049700781588121,-1.4989377308349602997350132378099304,-269.80879155029285395230238280578747/pi,5.2915026221291811810032315072785209
m003(cusp),AAAAb,5,-4,1,,-2.5000000000000000000000000000000000,-6.0621778264910705273460621952705533,-30.500000000000000000000000000000000,30.310889132455352636730310976352766,3.7941269688216589341408274220859400,2.3905276454177761469472917036984988,430.29497617519970645051250666572978/pi,6.5574385243020006523441099976360016
m003(cusp),AAABB,5,-3,-2,,2.0000000000000000000000000000000000,0.00000000000000000000000000000000000,4.0000000000000000000000000000000000,0.00000000000000000000000000000000000,0.00000000000000000000000000000000000,0.00000000000000000000000000000000000,0.00000000000000000000000000000000000,2.0000000000000000000000000000000000
m003(cusp),AAAbb,5,-3,2,,3.5000000000000000000000000000000000,-7.7942286340599478208735085367764256,-48.500000000000000000000000000000000,-54.559600438419634746114559757434980,4.3087142361887911099354171945596206,-2.3173923941053904377858710294502026,-417.13063093897027880145678530103647/pi,8.5440037453175311678716483262397064
m003(cusp),AABAB,5,-3,-2,,0.00000000000000000000000000000000000,3.4641016151377545870548926830117447,-12.000000000000000000000000000000000,0.00000000000000000000000000000000000,2.6339157938496334172500926946159369,3.1415926535897932384626433832795029,565.48667764616278292327580899031052/pi,3.4641016151377545870548926830117447
m003(cusp),AABAb,5,-3,0,,4.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,19.500000000000000000000000000000000,-7.7942286340599478208735085367764257,2.9508594314370451023384337610902388,-0.42104555144303681074695534376888068,-75.788199259746625934451961878398523/pi,4.5825756949558400065880471937280085
m003(cusp),AABBB,5,-2,-3,,4.0000000000000000000000000000000000,3.4641016151377545870548926830117447,4.0000000000000000000000000000000000,27.712812921102036696439141464093958,3.3257717821172421513049700781588121,1.4989377308349602997350132378099304,269.80879155029285395230238280578747/pi,5.2915026221291811810032315072785209
m003(cusp),AABaB,5,-1,-2,,2.5000000000000000000000000000000000,-4.3301270189221932338186158537646809,-12.500000000000000000000000000000000,-21.650635094610966169093079268823405,3.2608735520239620978847498784662408,-2.1595546017541367383392886115113851,-388.71982831574461290107195007204931/pi,5.0000000000000000000000000000000000
m003(cusp),AABab,5,-1,0,,-2.5000000000000000000000000000000000,2.5980762113533159402911695122588085,-0.49999999999999999999999999999999999,-12.990381056766579701455847561294043,2.5876638829861830965570783834250716,-1.7588342563677879134421231453484534,-316.59016614620182441958216616272161/pi,3.6055512754639892931192212674704959
m003(cusp),AAbAB,5,-3,0,,4.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,19.500000000000000000000000000000000,-7.7942286340599478208735085367764257,2.9508594314370451023384337610902388,-0.42104555144303681074695534376888068,-75.788199259746625934451961878398523/pi,4.5825756949558400065880471937280085
m003(cusp),AAbAb,5,-3,2,,1.5000000000000000000000000000000000,-4.3301270189221932338186158537646809,-16.500000000000000000000000000000000,-12.990381056766579701455847561294043,3.1175247937010961275322942381240860,-2.5275589002146271993025924245497472,-454.96060203863289587446663641895449/pi,4.5825756949558400065880471937280085
m003(cusp),AAbaB,5,-1,0,,-2.5000000000000000000000000000000000,2.5980762113533159402911695122588085,-0.49999999999999999999999999999999999,-12.990381056766579701455847561294043,2.5876638829861830965570783834250716,-1.7588342563677879134421231453484534,-316.59016614620182441958216616272161/pi,3.6055512754639892931192212674704959
m003(cusp),AAbab,5,-1,2,,-0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,-0.50000000000000000000000000000000000,0.86602540378443864676372317075293618,0.86255462766206103218569279447502386,2.6806731878491247967891366373024864,482.52117381284246342204459471444755/pi,1.0000000000000000000000000000000000
